char,jyutping
生仔救國,saang1 zai2 gau3 gwok3
生仔救港,saang1 zai2 gau3 gong2
白滑長腿,baak6 waat6 zoeng2 teoi2
維尼,wai4 nei4
缺一不可,kyut3 jat1 bat1 ho2
羅冠聰,lo4 gun1 cung1
習大大,zaap6 daai6 daai6
老豆搵仔,lou5 dau6 wan2 zai2
耶穌龍門陣,je4 sou1 lung4 mun4 zan6
自由花,zi6 jau4 faa1
華記正能量,waa4 gei3 zing3 nang4 loeng6
蔡英文,coi3 jing1 man4
行政會議,hang4 zing3 wui6 ji5
見字飲水,gin3 zi6 jam2 seoi2
親子王國,can1 zi2 wong4 gwok3
警察城市,ging2 caat3 sing4 si5
連登,lin4 dang1
限奶令,haan6 naai5 ling1
限聚令,haan6 cou5 ling1
陳雲,can4 wan4
集會現場,zaap6 wui2 jin6 coeng4
雜物堵路,zaap6 mat6 dou2 lou6
離地中產,lei4 dei6 zung1 caan2
香港曱甴,hoeng1 gong2 gaat6 zaat2
香港民族論,hoeng1 gong2 man4 zuk6 leon4
香港獨立,hoeng1 gong2 duk6 laap6
高登音樂臺,gou1 dang1 jam1 ngok6 toi4
高調支持,gou1 diu6 zi1 ci4
鬥黃,dau3 wong4
黃之鋒,wong4 zi1 fung1
黃店,wong4 dim3
點都唔割,dim2 dou1 m4 got3
黨安法,dong2 on1 faat3
龍門冰室,lung4 mun4 bing1 sat1
澳門又贏,ou3 mun2 jau6 jeng4
炸彈威脅,zaa3 daan2 wai1 hip3
劫機行爲,gip3 gei1 hang4 wai4
實施制裁,sat6 si1 zai3 coi4
皇漢,wong4 hon3
民意授權,man4 ji3 sau6 kyun4
一貫作風,jat1 gun3 zok3 fung1
觀塘老母,gun1 tong4 lou5 mou2
蘋果日報,ping4 gwo2 jat6 bou3
立場新聞,laap6 coeng4 san1 man2
白粉報,baak6 fan2 bou3
預判,jyu6 pun3
今日份,gam1 jat6 fan6
殘忍嗜殺,caan4 jan2 si3 saat3
證監,zing3 gaam1
證監會,zing3 gaam1 wui2
老廉,lou5 lim2
移咗民,ji4 zo2 man4
果籽,gwo2 zi2
國際新聞,gwok3 zai3 san1 man4
人權法案,jan4 kyun4 faat3 on3
電檢,din6 gim2
國藥,gwok3 joek6
復必泰,fau6 bit1 taai3
揩中,haai1 zung1
新冠病毒,san1 gun1 beng6 duk6
武漢肺炎,mou5 hon3 fai3 jim4
武肺,mou5 fai3
深喉唾液,sam1 hau4 to3 jik6
科興,fo1 hing1
肛拭子,gong1 sik1 zi2
譚德賽,taam4 dak1 coi3
深喉,sam1 hau4
大屌,daai6 diu2
露烏,lou6 wu1
慢慢掃落腰,maan6 maan2 sou3 lok6 jiu1
敏感位,man5 gam2 wai6
好淫,hou2 jam4
淫樣,jam4 joeng6
淫閪,jam4 hai1
出晒水,ceot1 saai3 seoi2
石見田,sek6 gin3 tin4
劉錫祥,lau4 sek6 coeng4
仆街冚家剷,puk1 gaai1 ham6 gaa1 caan2
校園電視,haau6 jyun2 din6 si6
涼薄啲講句,loeng4 bok6 di1 gong2 geoi3
特別意思,dak6 bit6 ji3 si1
獅子山精神,si1 zi2 saan1 zing1 san4
膠街架,gaau1 gaai1 gaa3
麻唔麻煩,maa4 m4 maa4 faan4
快遞櫃,faai3 dai6 geoi2
香唔香,hoeng1 m4 hoeng1
有啲麻煩,jau5 di1 maa4 faan4
混打,wan6 daa2
底妝,dai2 zong1
定妝,ding6 zong1
打柒,daa2 cat1
聽開,ting1 hoi1
私戳,si1 coek3
裝過,zong1 gwo3
念慈菴,nim6 ci4 am1
笑埋右,siu3 maai4 jau6
超級期待,ciu1 kap1 kei4 doi6
唔知醒,m4 zi1 seng2
今朝唔知醒,gam1 ziu1 m4 zi1 seng2
呢篇,nei1 pin1
中英數,zung1 jing1 sou2
補底班,bou2 dai2 baan1
嗰份嘢,go2 fan6 je5
有限度,jau5 haan6 dok6
老母臭閪,lou5 mou2 cau3 hai1
打柒佢,daa2 cat1 keoi5
呢類,le1 leoi6
嗰類,go2 leoi6
間中都有,gaan3 zung1 dou1 jau5
間中都會,gaan3 zung1 dou1 wui6
值機,zik6 gei1
人生贏家,jan4 sang1 jeng4 gaa1
屯赤,tyun4 cek3
講談社,gong2 taam4 se5
計錯數,gai2 co3 sou2
撐共,caang1 gung6
綁埋一齊,bong2 maai4 jat1 cai4
殺警,saat3 ging2
要瞓,jiu3 fan3
減齡,gaam2 ling4
凍齡,dung3 ling4
殺警,saat3 ging2
漁樵,jyu4 ciu4
違和感,wai4 wo4 gam2
好似有,hou2 ci5 jau5
南島語,naam4 dou2 jyu5
噉樣得唔得,gam2 joeng2 dak1 m4 dak1
用慣無計,sung6 gwaan3 mou4 gai2
唔係羅,m4 hai6 lo4
有咩功能,jau5 me1 gung1 nang4
有條友,jau5 tiu4 jau5
窒下窒下,zat6 haa5 zat6 haa5
辱華,juk6 waa4
盤虯臥龍,pun4 kau4 ngo6 lung4
唔准嬲,m4 zeon2 nau1
擢下擢下,zok6 haa5 zok6 haa5
戳下戳下,coek3 haa5 coek3 haa5
剒下剒下,co3 haa5 co3 haa5
個音節,go3 jam1 zit3
閩南話又有,man5 naam4 waa2 jau6 jau5
幾得意,gei2 dak1 ji3
科興,fo1 hing1
莫得納,mok6 dak1 naap6
阿斯利康,aa3 si1 lei6 hong1
康希諾,hong1 hei1 nok6
復星,fau6 sing1
復星生物,fau6 sing1 sang1 mat6
冠狀病毒病,gun1 zong6 beng6 duk6 beng6
冠病,gun1 beng6
避坑,bei6 haang1
踩雷,caai2 leoi4
釣魚牌,diu3 jyu2 paai4
李萬山,lei5 maan6 saan1
摸肚仔,mo2 tou5 zai2
先嚟,sin1 lai4
大辱,daai6 juk6
舊字形,gau6 zi6 jing4
新香港,san1 hoeng1 gong2
編委會,pin1 wai2 wui5
砍掉重練,ham2 diu6 cung4 lin6
打籠通,daa2 lung4 tung1
執過,zap1 gwo3
字款,zi6 fun2
葛菜,got3 coi3
葛菜湯,got3 coi3 soeng1
葛菜水,got3 coi3 seoi2
生魚葛菜水,saang1 jyu2 got3 coi3 seoi2
野葛菜,je5 got3 coi3
野葛菜水,je5 got3 coi3 seoi2
好感度,hou2 gam2 dok6
駱惠寧,lok3 wai6 ning4
何君堯,ho4 gwan1 jiu4
蟶子王,cing1 zi2 wong4
蒸蝦,zing1 haa1
豉油王,si6 jau4 wong4
轉駁,zyun2 bok3
齋蠔油,zaai1 hou4 jau4
來電轉駁,loi4 din6 zyun2 bok3
隔離營,gaak3 lei4 jing4
平行宇宙,ping4 hang4 jyu5 zau6
我睇咗,ngo5 tai2 zo2
嚴式隸定,jim4 sik1 dai6 ding6
原格分離,jyun4 gaak3 fan1 lei4
寬式隸定,fun1 sik1 dai6 ding6
即係乜嘢,zik1 hai6 mat1 je5
月炎虫,jyut6 jim4 wai2
舟火廾虫,zau1 fo2 gung2 wai2
月火廾虫,jyut6 fo2 gung2 wai2
舟关虫,zau1 gwaan1 wai2
舟火収虫,zau1 fo2 sau1 wai2
手機打唔到,sau2 gei1 daa2 m4 dou2
混雙,wan6 soeng1
減脂,gaam2 zi1
戒飯,gaai3 faan6
辟穀減肥,pik1 guk1 gaam2 fei4
遙距,jiu4 keoi5
肛塞,gong1 coi3
除毛,ceoi4 mou4
眼線膠筆,ngaan5 sin3 gaau1 bat1
眼線液筆,ngaan5 sin3 jik6 bat1
小物,siu2 mat6
工廠區,gung1 cong2 keoi1
排咗期,paai4 zo2 gei1
眉卡,mei4 kaa1
奇異值分解,kei4 ji6 zik6 fan1 gaai2
噉嘅咩,gam2 ge3 me1
變調太難,bin3 diu6 taai3 naan4
局部混,guk6 bou6 wan6
除毛,ceoi4 mou4
甩毛,lat1 mou4
日料,jat6 liu6
剃毛,tai3 mou4
咕嚕肉,gu1 lou1 juk6
攬攬,laam5 laam5
試當真,si3 dong3 zan1
表定,biu2 ding6
拍緊拖,paak3 gan2 to1
無套,mou4 tou3
食食下,sik6 sik6 haa5
食食下飯,sik6 sik6 haa5 faan6
太密,taai3 mat6
佢咁,keoi5 gam3
咁就,gam3 zau6
咁又,gam3 jau6
吓話,haa2 waa6
咁呢,gam3 le1
就咁,zau6 gam3
佢呢,keoi5 le1
咁樣,gam3 joeng6
呢樣,nei1 joeng6
咩話,me1 waa2
咩喎,me1 wo3
咩嘢,me1 je5
呢啲,nei1 di1
講呢啲,gong2 nei1 di1
哭咗,huk1 zo2
查實,caa4 sat6
個嘢壞咗,go3 je5 waai6 zo2
話知,waa6 zi1
話鳩知,waa6 kau1 zi1
祓魅,fat1 mei6
黃藍,wong4 laam4
拍攝者,paak3 sip3 ze2
翻用,faan1 jung6
隨機過程,ceoi4 gei1 gwo3 cing4
馬爾可夫鏈,maa5 ji5 ho2 fu1 lin2
官宣,gun1 syun1
鼻影,bei6 jing2
試返,si3 faan2
